job_id,instance_id,submit_time_ms,mesos_start_time_ms,start_time_ms,end_time_ms,hostname,slave_id,status,reason,user,mem,cpus,job_name,requested_run_time,requested_status
591c9805-818f-4fe3-9ead-f86b01ba6cd5,c8aa3755-e4e1-4cb9-a9db-db32904fadd1,1495145433735,1495150773735,1495150773735,1495151673733,3,a45be252-35f7-434a-8ec3-1e85265213ac,:instance.status/success,,b,2060.0,2.0,dummy_job,894640,finished
591c9805-3f78-4083-abfc-88078414ba2d,3dda2192-9485-4fa5-9410-433cf5164b85,1495145433742,1495150773735,1495150773735,1495152063733,3,a45be252-35f7-434a-8ec3-1e85265213ac,:instance.status/success,,d,2425.0,3.0,dummy_job,1265907,finished
591c9805-7947-4773-bcbd-1b5bbd5b9e6e,15aeb38c-f943-402d-8f5e-bf7fb52431b5,1495145013738,1495146543735,1495146543735,1495147953733,0,a05a4ac2-7eb2-40a1-8259-111b961874c1,:instance.status/success,,d,2406.0,3.0,dummy_job,1381033,finished
591c9805-8b37-4ca7-92cb-130dec2f227f,50a659ec-e2b0-485e-86b9-7556dd40b659,1495145013745,1495146543735,1495146543735,1495148103733,1,eba83456-8596-44c2-9de5-fb29cfaf1647,:instance.status/success,,a,2389.0,3.0,dummy_job,1557088,finished
591c9805-d0f1-4bda-9c52-66b1c61016d2,751698fe-8f98-49c9-9125-9e431d57746b,1495145073732,1495146543735,1495146543735,1495148313733,3,a45be252-35f7-434a-8ec3-1e85265213ac,:instance.status/success,,a,2963.0,3.0,dummy_job,1764452,finished
591c9805-3f1a-4cee-9b1d-bfc42b8ecdda,04dd589a-4136-4fa9-8f29-88e2d40b8fd0,1495145313743,1495150893735,1495150893735,1495152123735,1,eba83456-8596-44c2-9de5-fb29cfaf1647,:instance.status/running,,a,2411.0,3.0,dummy_job,1403308,finished
591c9805-10af-425e-8a5b-7c4e4f69f7b5,0b14dd0f-1599-4afc-b777-561c3093a93e,1495145013734,1495146603735,1495146603735,1495147323733,2,4696a9c8-fc9f-46b4-8a83-23b384f3f616,:instance.status/success,,b,2294.0,2.0,dummy_job,710637,finished
591c9805-6f9c-4c61-adb3-b212c83acd61,abb08415-df3f-4995-b34e-f1e1f48956dd,1495145253741,1495150923735,1495150923735,1495152123735,0,a05a4ac2-7eb2-40a1-8259-111b961874c1,:instance.status/running,,b,2884.0,1.0,dummy_job,1442445,finished
591c9805-290d-4bdc-af3c-aff32163e232,c7315b6f-e305-4b20-a7ba-1ad3b11e2ebb,1495145073734,1495146633735,1495146633735,1495147413733,2,4696a9c8-fc9f-46b4-8a83-23b384f3f616,:instance.status/success,,a,2018.0,1.0,dummy_job,778186,finished
591c9805-6e90-4e69-917d-353fba762aa8,5db121be-d6b8-43d2-ad19-1b47368065b3,1495145373734,1495150953735,1495150953735,1495151613733,2,4696a9c8-fc9f-46b4-8a83-23b384f3f616,:instance.status/success,,a,2279.0,1.0,dummy_job,642468,finished
591c9805-62e6-4822-8c92-f5f88cfd537d,55a5a1d7-7262-4e80-a6f0-e146a7b193ac,1495145373739,1495151073735,1495151073735,1495152123735,4,67194c23-61d6-4901-87a8-38d84af57f95,:instance.status/running,,a,2329.0,1.0,dummy_job,1269026,finished
